category,style,size,chest_cm,waist_cm,arm_length_cm,neckline_cm,UK,EUR
jackets_coats,regular,XXS,74.17232409220766,65.4667185556368,59.0,33.0,28,38
jackets_coats,regular,XXS,76.89695955209933,65.61333355925014,59.0,33.0,28,38
jackets_coats,regular,XXS,76.89961958021489,62.36859141880421,59.0,33.0,28,38
jackets_coats,regular,XXS,77.10101929167273,63.96587216506877,59.0,33.0,28,38
jackets_coats,regular,XXS,77.361895500814,62.05596361751387,59.0,33.0,28,38
jackets_coats,regular,XXS,75.7292789275436,63.30909933105948,59.0,33.0,28,38
jackets_coats,regular,XXS,77.29883232754996,65.41049934859956,59.0,33.0,28,38
jackets_coats,regular,XXS,77.83791137298597,62.294541662697874,59.0,33.0,28,38
jackets_coats,regular,XXS,75.67946360707778,62.2438354087371,59.0,33.0,28,38
jackets_coats,regular,XXS,77.32793553620077,63.69753081732054,59.0,33.0,28,38
jackets_coats,regular,XXS,76.97996904746047,63.58874307865198,59.0,33.0,28,38
jackets_coats,regular,XXS,77.88825104871805,62.95410884241184,59.0,33.0,28,38
jackets_coats,regular,XXS,75.00157317644904,63.179183659725965,59.0,33.0,28,38
jackets_coats,regular,XXS,77.66668279900603,64.72633114929059,59.0,33.0,28,38
jackets_coats,regular,XXS,77.07156465819052,64.60104563447298,59.0,33.0,28,38
jackets_coats,regular,XXS,77.77780097183476,63.81538071564002,59.0,33.0,28,38
jackets_coats,regular,XXS,77.08788045800536,64.38674144695943,59.0,33.0,28,38
jackets_coats,regular,XXS,74.48913928169868,64.59832251528911,59.0,33.0,28,38
jackets_coats,regular,XXS,76.56989602209842,65.40513524354735,59.0,33.0,28,38
jackets_coats,regular,XXS,74.36282981409119,63.65061842159653,59.0,33.0,28,38
jackets_coats,regular,XXS,77.47882401926734,65.98425441198674,59.0,33.0,28,38
jackets_coats,regular,XXS,77.80353745053868,63.56980702468683,59.0,33.0,28,38
jackets_coats,regular,XXS,75.96757958479228,62.19435794790276,59.0,33.0,28,38
jackets_coats,regular,XXS,75.03222930890558,64.61958639303602,59.0,33.0,28,38
jackets_coats,regular,XXS,74.95115000492882,62.0050321256481,59.0,33.0,28,38
jackets_coats,regular,XXS,76.18971277948111,63.201048895799424,59.0,33.0,28,38
jackets_coats,regular,XXS,77.0370673416187,63.99871542592648,59.0,33.0,28,38
jackets_coats,regular,XXS,76.42983702394123,63.61994536926307,59.0,33.0,28,38
jackets_coats,regular,XXS,75.77453507402514,63.108213556752226,59.0,33.0,28,38
jackets_coats,regular,XXS,74.59232536961821,64.02199290494141,59.0,33.0,28,38
jackets_coats,regular,XXS,74.35233101840181,65.385057566594,59.0,33.0,28,38
jackets_coats,regular,XXS,74.65799658693115,65.10366642367217,59.0,33.0,28,38
jackets_coats,regular,XXS,75.75680099731281,62.21551208044174,59.0,33.0,28,38
jackets_coats,regular,XXS,74.2051100170839,64.98243841633963,59.0,33.0,28,38
jackets_coats,regular,XXS,76.8616715095768,65.05838724569355,59.0,33.0,28,38
jackets_coats,regular,XXS,76.67699676178007,63.85861452291448,59.0,33.0,28,38
jackets_coats,regular,XXS,74.62639119249862,62.117809228827866,59.0,33.0,28,38
jackets_coats,regular,XXS,76.55022210062906,63.46127360172255,59.0,33.0,28,38
jackets_coats,regular,XXS,76.80799848060413,64.63170701802842,59.0,33.0,28,38
jackets_coats,regular,XXS,77.2255759847913,63.007424934248505,59.0,33.0,28,38
jackets_coats,regular,XXS,76.80507488105945,62.30788345196673,59.0,33.0,28,38
jackets_coats,regular,XXS,77.75819906046162,62.88028922075002,59.0,33.0,28,38
jackets_coats,regular,XXS,77.74472936630586,62.659687631035986,59.0,33.0,28,38
jackets_coats,regular,XXS,74.15550331321249,65.72112559843777,59.0,33.0,28,38
jackets_coats,regular,XXS,77.97290513249662,62.09473547431439,59.0,33.0,28,38
jackets_coats,regular,XXS,74.08330482093366,64.93289168957592,59.0,33.0,28,38
jackets_coats,regular,XXS,76.5756470816275,63.161104995389636,59.0,33.0,28,38
jackets_coats,regular,XXS,74.9717561518283,62.743300049772046,59.0,33.0,28,38
jackets_coats,regular,XXS,74.82705999733334,63.24796659923109,59.0,33.0,28,38
jackets_coats,regular,XXS,75.67116562268414,62.690140148759674,59.0,33.0,28,38
jackets_coats,regular,XXS,75.75512318091212,65.15534053441313,59.0,33.0,28,38
jackets_coats,regular,XXS,74.76360601494746,65.2751630617377,59.0,33.0,28,38
jackets_coats,regular,XXS,77.59257491066997,65.45720339633952,59.0,33.0,28,38
jackets_coats,regular,XXS,76.03558155826362,62.00228918673993,59.0,33.0,28,38
jackets_coats,regular,XXS,77.37239882473877,62.08643998607345,59.0,33.0,28,38
jackets_coats,regular,XXS,76.30376785690626,64.29934697540911,59.0,33.0,28,38
