category,style,size,chest_cm,waist_cm,arm_length_cm,neckline_cm
sweatshirts_hoodies,regular,XXS,75.63625323043806,63.561030182750414,59.0,33.0
sweatshirts_hoodies,regular,XXS,74.07767834901387,63.25718084330257,59.0,33.0
sweatshirts_hoodies,regular,XXS,76.9271179660957,62.58426671118126,59.0,33.0
sweatshirts_hoodies,regular,XXS,75.00335996125199,64.32182078988801,59.0,33.0
sweatshirts_hoodies,regular,XXS,74.38123179992252,64.22535813095419,59.0,33.0
sweatshirts_hoodies,regular,XXS,74.17799151466309,63.1609230683474,59.0,33.0
sweatshirts_hoodies,regular,XXS,75.76885017435839,64.87733306564662,59.0,33.0
sweatshirts_hoodies,regular,XXS,75.45233931099271,64.40881439087862,59.0,33.0
sweatshirts_hoodies,regular,XXS,74.54307608093335,62.73316458059781,59.0,33.0
sweatshirts_hoodies,regular,XXS,77.65879980596861,65.51607462767777,59.0,33.0
sweatshirts_hoodies,regular,XXS,74.97444271315777,64.03737870112363,59.0,33.0
sweatshirts_hoodies,regular,XXS,77.44000831949387,64.82713405623313,59.0,33.0
sweatshirts_hoodies,regular,XXS,75.45786276074308,64.16760142981876,59.0,33.0
sweatshirts_hoodies,regular,XXS,75.96647387325025,63.75518889920247,59.0,33.0
sweatshirts_hoodies,regular,XXS,77.26375872123243,63.79987683081365,59.0,33.0
sweatshirts_hoodies,regular,XXS,77.73626712822406,65.52307449843994,59.0,33.0
sweatshirts_hoodies,regular,XXS,76.19306899591257,62.03834754653905,59.0,33.0
sweatshirts_hoodies,regular,XXS,77.39460430864759,63.84068333214781,59.0,33.0
sweatshirts_hoodies,regular,XXS,75.9196211289813,63.05063449573599,59.0,33.0
sweatshirts_hoodies,regular,XXS,77.8789468228403,63.5184674706223,59.0,33.0
sweatshirts_hoodies,regular,XXS,74.50929628691809,63.26030837126767,59.0,33.0
sweatshirts_hoodies,regular,XXS,74.12749090642993,64.75680737525975,59.0,33.0
sweatshirts_hoodies,regular,XXS,75.26387176457384,65.77521297373013,59.0,33.0
sweatshirts_hoodies,regular,XXS,74.16643380095823,65.47494061862133,59.0,33.0
sweatshirts_hoodies,regular,XXS,74.07309583569655,64.73533658312643,59.0,33.0
sweatshirts_hoodies,regular,XXS,76.55673002389997,64.585284448139,59.0,33.0
sweatshirts_hoodies,regular,XXS,75.43732744626008,64.9477476683599,59.0,33.0
sweatshirts_hoodies,regular,XXS,77.28775597076644,64.72974549387223,59.0,33.0
sweatshirts_hoodies,regular,XXS,77.469936836103,62.666987359599844,59.0,33.0
sweatshirts_hoodies,regular,XXS,77.99122541770079,62.778854078234865,59.0,33.0
sweatshirts_hoodies,regular,XXS,74.25312176736365,65.83325989343051,59.0,33.0
sweatshirts_hoodies,regular,XXS,74.27535268904154,64.47405085786018,59.0,33.0
sweatshirts_hoodies,regular,XXS,76.44911869094338,65.1128753441102,59.0,33.0
sweatshirts_hoodies,regular,XXS,75.94178507337506,64.26402275612078,59.0,33.0
sweatshirts_hoodies,regular,XXS,74.22600547251112,63.584202949624064,59.0,33.0
sweatshirts_hoodies,regular,XXS,75.5195521957506,64.87918564375163,59.0,33.0
sweatshirts_hoodies,regular,XXS,77.87488997979489,63.587108790495094,59.0,33.0
sweatshirts_hoodies,regular,XXS,77.37035291782217,62.40388681803652,59.0,33.0
sweatshirts_hoodies,regular,XXS,75.0505819763612,63.53254908857369,59.0,33.0
sweatshirts_hoodies,regular,XXS,76.40567334348177,65.18811911746096,59.0,33.0
sweatshirts_hoodies,regular,XXS,77.20620175995502,62.162555450069796,59.0,33.0
sweatshirts_hoodies,regular,XXS,77.84187247000442,62.31166141221519,59.0,33.0
sweatshirts_hoodies,regular,XXS,74.21085920392751,64.12570759205654,59.0,33.0
sweatshirts_hoodies,regular,XXS,75.96390193459668,65.05360396819485,59.0,33.0
sweatshirts_hoodies,regular,XXS,77.13482604813261,62.530261920588856,59.0,33.0
sweatshirts_hoodies,regular,XXS,77.13670613358921,62.8916149985233,59.0,33.0
sweatshirts_hoodies,regular,XXS,75.36489059957204,63.6105541706613,59.0,33.0
sweatshirts_hoodies,regular,XXS,74.43779153143764,64.80027910706069,59.0,33.0
sweatshirts_hoodies,regular,XXS,75.34622438484314,64.23734899254072,59.0,33.0
sweatshirts_hoodies,regular,XXS,76.0639216916841,65.49450475759593,59.0,33.0
sweatshirts_hoodies,regular,XXS,76.72229803123014,62.56478283021317,59.0,33.0
sweatshirts_hoodies,regular,XXS,76.51894134965853,64.60462277761246,59.0,33.0
sweatshirts_hoodies,regular,XXS,77.68441934736396,65.7504283790281,59.0,33.0
sweatshirts_hoodies,regular,XXS,76.7198370813207,65.9884385541032,59.0,33.0
sweatshirts_hoodies,regular,XXS,74.36682520630684,64.35937727195137,59.0,33.0
sweatshirts_hoodies,regular,XXS,77.08591441417917,64.03123477641032,59.0,33.0
sweatshirts_hoodies,regular,XXS,77.68004377564765,64.58474916455212,59.0,33.0
sweatshirts_hoodies,regular,XXS,74.30638433263366,64.74758091566422,59.0,33.0
sweatshirts_hoodies,regular,XXS,74.18180696831064,64.6110132700868,59.0,33.0
sweatshirts_hoodies,regular,XXS,77.19321528401424,62.641866208403385,59.0,33.0
sweatshirts_hoodies,regular,XXS,77.2676540504919,65.77074094135233,59.0,33.0
sweatshirts_hoodies,regular,XXS,74.33863156270392,62.507527404525696,59.0,33.0
sweatshirts_hoodies,regular,XXS,76.85593541815155,62.73556008146117,59.0,33.0
sweatshirts_hoodies,regular,XXS,77.36493377066134,62.58850418125199,59.0,33.0
sweatshirts_hoodies,regular,XXS,77.99010382575463,62.847237552793196,59.0,33.0
sweatshirts_hoodies,regular,XXS,76.72752435057362,63.98863020120401,59.0,33.0
sweatshirts_hoodies,regular,XXS,76.47989453248846,62.88932348303141,59.0,33.0
sweatshirts_hoodies,regular,XXS,74.00468338434221,62.50445738281359,59.0,33.0
sweatshirts_hoodies,regular,XXS,77.5250899391136,65.78877017280678,59.0,33.0
sweatshirts_hoodies,regular,XXS,76.3298988733605,65.75804630408662,59.0,33.0
sweatshirts_hoodies,regular,XXS,77.52652794359304,64.11332537684912,59.0,33.0
sweatshirts_hoodies,regular,XXS,76.26760540686837,63.857404743479265,59.0,33.0
sweatshirts_hoodies,regular,XXS,76.15722903650692,64.69115869542992,59.0,33.0
sweatshirts_hoodies,regular,XXS,74.5025788389476,65.97059366605824,59.0,33.0
