category,size,waist_cm,low_hip_cm,30inch_length_cm,32inch_length_cm,34inch_length_cm
jeans_trousers,"25""",66.26016279841028,85.74794206002012,75.80227467139252,80.07982955582968,84.80536004842014
jeans_trousers,"25""",65.82310612741641,84.7009239012195,76.55577096693973,79.38139916982014,84.60820596433909
jeans_trousers,"25""",65.67849400921865,84.80368568490627,75.8803145326121,80.93788390151543,83.56010121428783
jeans_trousers,"25""",64.13550076249061,85.73395423586328,76.83174124448689,80.72450307835699,84.99790984310249
jeans_trousers,"25""",64.02282461277603,84.11933245214976,76.49602339166336,80.15618660965083,83.28187261106083
jeans_trousers,"25""",65.0971999481462,85.63255351040291,75.21800614325718,80.57039296921948,84.3406498236796
jeans_trousers,"25""",65.1385824987293,85.73591121516041,75.5200826266064,79.89997180015678,84.21667455928599
jeans_trousers,"25""",64.52113599575547,85.4903359087163,75.07139741411288,80.48485412222526,84.3898516171539
jeans_trousers,"25""",65.00378889338789,85.1289626136104,75.72778633807214,80.14942662076868,83.48268651540717
jeans_trousers,"25""",64.9986873800315,85.66519399511967,75.31393172960304,79.12937752990017,83.99932871252382
jeans_trousers,"25""",65.34051714836116,85.42899619658644,75.96746468235567,79.51696630120713,84.8083764792838
jeans_trousers,"25""",65.7756494148795,84.7722040790672,75.90918254347187,80.61201238977662,84.74426444787572
jeans_trousers,"25""",65.6644980867558,84.07995165014663,76.42981365057331,79.9804948822823,83.80665352359001
jeans_trousers,"25""",65.70290395682832,85.38411660543089,75.40628204794429,80.54101815606714,83.41610177734336
jeans_trousers,"25""",65.05831919478669,84.17912194553604,75.36569608999737,79.42691588023445,84.35231789427773
jeans_trousers,"25""",65.96506916258944,84.73921933725734,76.10235235485818,79.44182107285278,84.1651824237445
jeans_trousers,"25""",66.0533975421203,85.82449911209827,76.53414390047861,80.96721833500445,84.34672244464224
jeans_trousers,"25""",64.47100053195538,85.12298599205431,76.61873999629604,80.84447108929285,84.3706181333554
jeans_trousers,"25""",64.8182134646551,84.66886921237644,76.75364006768679,79.83634708197101,83.65535957767207
jeans_trousers,"25""",66.97221635989845,85.77161852393033,75.62310780899963,80.61270042729089,83.4396552541745
jeans_trousers,"25""",65.46429261900686,85.25457046412353,76.7393643323979,79.03493202364632,83.80184488684142
jeans_trousers,"25""",66.7682933667904,85.30395153512735,76.7749519184817,80.29741209491162,84.95220369810349
jeans_trousers,"25""",64.87260584867062,85.05465346152828,75.79665072143283,79.06680957696318,84.73555263900825
jeans_trousers,"25""",64.46802161031641,85.12576771036163,76.69946706534604,80.24891528383799,84.38631920116667
jeans_trousers,"25""",65.79616727648765,84.9227072439897,76.30718045071337,79.66564170169536,84.72368180023258
jeans_trousers,"25""",66.00551612812534,85.16865257426375,76.61379155797208,80.19768213392308,84.39811558403223
jeans_trousers,"25""",66.70567429165735,85.02637626813458,75.94585148798114,79.78505020061658,83.50428284951074
jeans_trousers,"25""",64.8127877067222,84.81100981556938,76.57687543586489,79.97501710414261,84.83283644983085
jeans_trousers,"25""",65.31351303080662,84.45602271463179,75.25404609161245,79.24641692347252,83.59034468256151
jeans_trousers,"25""",64.12471746042286,84.18799350164066,75.78800454193123,80.86109559253158,84.29985368892012
jeans_trousers,"25""",66.98980405447118,84.08011845362049,76.5001234242333,79.25598133646272,84.57570500765677
jeans_trousers,"25""",65.66860057305878,84.41952471613203,76.02367293910343,79.475943501342,84.69038608607923
jeans_trousers,"25""",64.69431946206113,85.30016094075606,75.7480768724455,79.61868662639876,83.05803519736222
jeans_trousers,"25""",66.29631512319739,85.29552863615388,75.25143532873031,79.32103690526468,83.33702546157816
jeans_trousers,"25""",64.86082667220975,85.8475586429546,75.56978953639312,80.16404073887966,84.37718232519484
jeans_trousers,"25""",65.12097271649836,85.87967785555838,76.07086294891202,80.37519128721566,84.03638126731978
jeans_trousers,"25""",64.74277273324255,85.26456714191015,75.63651299558461,80.56215624188654,84.16927058813808
jeans_trousers,"25""",65.04118494385636,85.85988506464766,75.6220841639805,79.2689347907938,84.37881544480028
jeans_trousers,"25""",64.00246455909931,84.41585215604267,75.23251250793409,79.41465482845906,84.61935522388058
jeans_trousers,"25""",64.40767377236963,84.53931325843978,76.50602510193855,80.86216774331666,83.08561637257954
jeans_trousers,"25""",66.55506447306085,85.64220366640923,76.19065970555617,79.85617756134629,83.77231454408974
jeans_trousers,"25""",64.84143425561273,85.44836411458066,75.09209184896011,80.23051426586488,83.59082443003851
jeans_trousers,"25""",66.8296680164025,85.9507768585618,76.09105365611103,80.53083739181108,84.25140427714021
jeans_trousers,"25""",64.3070328179973,85.61806229294272,76.67641526590876,80.55936536864925,84.31754679990877
jeans_trousers,"25""",64.45550555621594,85.21344405773473,76.1670717022167,79.3732181676999,83.03121320706296
jeans_trousers,"25""",66.1864487083574,84.18776406408398,76.70876789633589,79.93378989350778,84.80603169685396
jeans_trousers,"25""",64.95444935020983,84.57841749177325,76.5143084887721,79.90642711287408,84.12889218045659
jeans_trousers,"25""",66.58856959423372,84.13016458505155,75.71968517808544,80.59670080670469,84.43222047397711
jeans_trousers,"25""",66.12305805967195,84.89600907195576,76.54916560163073,79.38860068141136,84.141744907298
jeans_trousers,"25""",65.45277797948354,85.17228496786946,75.81124193987688,80.02712997493049,83.23960357131355
jeans_trousers,"25""",66.27170237177396,84.11982442415447,76.52480535848724,79.86941912274611,83.90042310083564
jeans_trousers,"25""",66.9483630273944,84.61595026445869,75.40982825051887,80.41787247850463,84.80495434237568
jeans_trousers,"25""",64.32752690965592,85.56120467310537,76.74318352772242,80.68152438683978,84.1835443010585
