category,style,size,UK,EUR,Waist_cm,Waist_inch,Low_hip_cm,Low_hip_inch,Inside_leg_length_cm,Inside_leg_length_inch
shorts,regular,XXS,24,38,62.08618611445188,25.402934907895006,83.04387317217883,32.522155896453945,76.0,29.0
shorts,regular,XXS,24,38,63.34029419935035,24.91306820006785,84.0946489182421,32.1751313689626,76.0,29.0
shorts,regular,XXS,24,38,63.33934556283973,25.50122688575337,85.47179124758333,32.406866314587006,76.0,29.0
shorts,regular,XXS,24,38,64.53506342929623,25.582142319798628,83.9925346465829,32.82180693077693,76.0,29.0
shorts,regular,XXS,24,38,64.77215129284994,25.796596365970323,85.07281198832374,32.39254943441625,76.0,29.0
shorts,regular,XXS,24,38,64.59183527365039,25.920169062689677,83.12982998153842,32.432815130423975,76.0,29.0
shorts,regular,XXS,24,38,62.36566167520899,24.733637034213473,83.26942995230515,32.002982493642776,76.0,29.0
shorts,regular,XXS,24,38,65.23200151280508,25.310114331047146,85.6366944852998,32.89586534187971,76.0,29.0
shorts,regular,XXS,24,38,63.37431539995835,25.625451176027717,83.96522748212523,32.20945656436865,76.0,29.0
shorts,regular,XXS,24,38,63.82870702043361,24.902766186970233,83.98187961981542,32.2026443301401,76.0,29.0
shorts,regular,XXS,24,38,65.80887541973016,25.105150535622332,84.26963418486301,32.573036378044364,76.0,29.0
shorts,regular,XXS,24,38,64.20146375211922,24.53224082025533,85.50940166933393,32.932062776316855,76.0,29.0
shorts,regular,XXS,24,38,62.853716684578735,25.84859092839946,85.58408505276478,32.21355348849445,76.0,29.0
shorts,regular,XXS,24,38,62.21679961269676,25.26684502316332,83.91050757903139,32.751372925499815,76.0,29.0
shorts,regular,XXS,24,38,65.21182718657475,25.03440088402108,83.89817551356253,32.54104237520911,76.0,29.0
shorts,regular,XXS,24,38,62.58723128571596,25.41911852317544,84.9548202181881,32.17013700033941,76.0,29.0
shorts,regular,XXS,24,38,63.75299949730153,24.0110376126699,84.33360662180951,32.447215469726615,76.0,29.0
shorts,regular,XXS,24,38,63.3416110249828,25.36138224976172,84.50308993085879,32.34801346674013,76.0,29.0
shorts,regular,XXS,24,38,65.25814654037805,25.98742551181656,83.9445846631072,32.461790742757586,76.0,29.0
shorts,regular,XXS,24,38,63.27413715105747,24.642038658706408,84.93122630666029,32.29463644936696,76.0,29.0
shorts,regular,XXS,24,38,63.321256681150786,24.991137435512776,85.62257783762162,32.289669729858986,76.0,29.0
shorts,regular,XXS,24,38,62.983635439142,25.839586188428253,84.29978311269113,32.49149254533469,76.0,29.0
shorts,regular,XXS,24,38,65.02612121928254,25.319323887130693,82.00800224847988,32.110450256012285,76.0,29.0
shorts,regular,XXS,24,38,64.86667434856956,25.97852533848276,85.92094900027982,32.212150331143896,76.0,29.0
shorts,regular,XXS,24,38,62.86718026161155,24.938731813352533,85.04836797635403,32.64502088214154,76.0,29.0
shorts,regular,XXS,24,38,63.33140178756458,24.150374053083006,82.61648760629606,32.425758840376325,76.0,29.0
shorts,regular,XXS,24,38,65.49933016348803,24.367021214464955,83.14283739601068,32.13018404852715,76.0,29.0
shorts,regular,XXS,24,38,65.95217720862554,24.343043415641205,84.2220463126033,32.97183171262256,76.0,29.0
shorts,regular,XXS,24,38,65.36187936527689,25.755138465921824,82.5136766730966,32.148382995152076,76.0,29.0
shorts,regular,XXS,24,38,63.621691602161974,24.42193472405976,85.52077402519708,32.4160528351129,76.0,29.0
shorts,regular,XXS,24,38,63.380928645936066,24.68442222975978,82.41017061369031,32.03813755678255,76.0,29.0
shorts,regular,XXS,24,38,65.52206310366013,25.46079886063637,83.24467145567114,32.49357936431627,76.0,29.0
shorts,regular,XXS,24,38,62.33792012172413,24.837455825351107,83.79778812463711,32.417380912276215,76.0,29.0
shorts,regular,XXS,24,38,64.52336768058046,25.91621828758813,84.98530177333839,32.84824572272253,76.0,29.0
shorts,regular,XXS,24,38,63.104050636393374,25.977073250997606,85.37729337338355,32.234999344239824,76.0,29.0
shorts,regular,XXS,24,38,63.953010365659914,25.155359517287504,84.1456957620268,32.58815799442827,76.0,29.0
shorts,regular,XXS,24,38,65.48729617938388,24.242606774421652,84.97491912993169,32.27514465294017,76.0,29.0
shorts,regular,XXS,24,38,65.11194066949184,24.4466483553024,85.68703709825971,32.174901618667626,76.0,29.0
shorts,regular,XXS,24,38,62.48825691212688,24.32008498879621,84.0928837852439,32.79481871094389,76.0,29.0
shorts,regular,XXS,24,38,64.52660559636499,25.47019886576006,82.60098557126523,32.555260930157296,76.0,29.0
shorts,regular,XXS,24,38,65.53006017593863,25.21339015684111,82.77935974333039,32.269530093037055,76.0,29.0
shorts,regular,XXS,24,38,65.17659651277715,25.638694902967085,82.10723690337156,32.023883659458775,76.0,29.0
shorts,regular,XXS,24,38,64.45269034744122,25.414552800510926,85.18997287063311,32.17797422612037,76.0,29.0
shorts,regular,XXS,24,38,65.97533038357143,25.638867680253227,83.89152824066105,32.71369127299308,76.0,29.0
shorts,regular,XXS,24,38,65.75283441227741,25.104869729946405,85.87261211940637,32.45015206326557,76.0,29.0
shorts,regular,XXS,24,38,63.877880152378005,24.816294381038023,84.41543947637082,32.810942140413346,76.0,29.0
shorts,regular,XXS,24,38,62.29289313289505,25.841661980565295,84.49116964832895,32.22872208048677,76.0,29.0
shorts,regular,XXS,24,38,65.47267257308856,24.71890325376324,85.33519654166108,32.492538673999455,76.0,29.0
shorts,regular,XXS,24,38,62.37900121992488,24.024286652844246,82.50836073342073,32.538310899336615,76.0,29.0
shorts,regular,XXS,24,38,63.83202479603183,25.133629083278485,83.26199266294476,32.7536145799302,76.0,29.0
shorts,regular,XXS,24,38,62.52271458137886,24.60532937591514,83.30801150257484,32.45766192107434,76.0,29.0
shorts,regular,XXS,24,38,63.27930802193726,24.749001607938553,84.5871927706104,32.394534695992725,76.0,29.0
shorts,regular,XXS,24,38,62.45292730932005,25.797020567773806,82.49948346002874,32.484231976701786,76.0,29.0
shorts,regular,XXS,24,38,63.21461833207201,24.206133621380324,82.56309185446925,32.90277480019815,76.0,29.0
shorts,regular,XXS,24,38,64.74979749106366,25.106909931843056,83.82719601919646,32.615327155004984,76.0,29.0
shorts,regular,XXS,24,38,64.33217973314119,24.775169672248367,85.4463843923417,32.8522448593044,76.0,29.0
shorts,regular,XXS,24,38,62.31145155370288,24.547945101411514,84.23188151397135,32.13250975433744,76.0,29.0
shorts,regular,XXS,24,38,62.153568794616945,25.835078677836783,83.02877153995837,32.25835846327028,76.0,29.0
shorts,regular,XXS,24,38,62.18676303306009,25.38312260370074,85.44942451031949,32.464849016604305,76.0,29.0
shorts,regular,XXS,24,38,63.02122482121155,25.361891173446867,82.19693371416164,32.98482108345442,76.0,29.0
shorts,regular,XXS,24,38,63.34874071822598,25.260634970753436,85.00943313719546,32.709464106288586,76.0,29.0
shorts,regular,XXS,24,38,62.78418960354928,25.192744280663735,84.83213683329372,32.72356304795949,76.0,29.0
shorts,regular,XXS,24,38,65.84459887868117,24.728485634132582,82.66627793605471,32.74403432080896,76.0,29.0
shorts,regular,XXS,24,38,64.65733853848855,25.177494473035697,83.17715472464756,32.69985914008699,76.0,29.0
shorts,regular,XXS,24,38,65.31936290596121,24.5069358640117,83.86009235407757,32.706309581656704,76.0,29.0
shorts,regular,XXS,24,38,62.152490405354,24.29614644976946,84.96602804375023,32.32375166442384,76.0,29.0
shorts,regular,XXS,24,38,62.811210409950675,25.77373408605001,82.25224916176893,32.01810530120999,76.0,29.0
shorts,regular,XXS,24,38,64.98776387281133,25.64539831180261,82.0882797757217,32.05533064466905,76.0,29.0
shorts,regular,XXS,24,38,65.52835999259646,24.321496035087314,85.32535598596996,32.11682007852211,76.0,29.0
shorts,regular,XXS,24,38,62.214927103352814,25.64694384419029,83.682021194059,32.31324792530536,76.0,29.0
shorts,regular,XXS,24,38,63.472797415961246,25.243016294610605,82.28941478100228,32.41580403888291,76.0,29.0
shorts,regular,XXS,24,38,65.45603554639446,25.489912910322627,82.94340308226691,32.8605793927636,76.0,29.0
shorts,regular,XXS,24,38,65.05118850401239,24.2025697195245,82.15083980095174,32.92343104062758,76.0,29.0
shorts,regular,XXS,24,38,65.39029309027416,24.359402845264263,84.34061597346695,32.413480261139895,76.0,29.0
shorts,regular,XXS,24,38,62.86077217499098,24.38861705386778,82.11342533186132,32.368332047086156,76.0,29.0
shorts,regular,XXS,24,38,64.09409171003615,25.36784938825335,82.6893012759221,32.422788188434126,76.0,29.0
shorts,regular,XXS,24,38,65.9507231344516,24.04424134563454,85.57460984368487,32.250501253561985,76.0,29.0
shorts,regular,XXS,24,38,63.39237085792638,25.037881714779104,85.95643478132718,32.43428053801223,76.0,29.0
shorts,regular,XXS,24,38,64.85743480903314,24.162764769242358,84.14862074262734,32.152055259462706,76.0,29.0
shorts,regular,XXS,24,38,64.53137372489981,24.209540909999557,83.82886584785079,32.330831345104684,76.0,29.0
shorts,regular,XXS,24,38,62.13329063387556,24.27699488193864,83.20934556591408,32.40655303481565,76.0,29.0
shorts,regular,XXS,24,38,63.77240284612023,25.488198652743275,84.24053090535537,32.530795887989115,76.0,29.0
shorts,regular,XXS,24,38,65.85765876224005,25.829561290255892,82.62031130051828,32.47308024011497,76.0,29.0
shorts,regular,XXS,24,38,64.46972655217687,24.754884911755845,85.19715663973928,32.40362143312307,76.0,29.0
shorts,regular,XXS,24,38,65.91519097066623,25.761391862943896,82.53429067785999,32.66044368666835,76.0,29.0
shorts,regular,XXS,24,38,64.17458893717603,24.285887501617903,82.71628462605209,32.74639274195525,76.0,29.0
shorts,regular,XXS,24,38,65.14364060429386,25.583706471361644,85.45661428921903,32.16151998131346,76.0,29.0
shorts,regular,XXS,24,38,65.40941227404038,25.067840610988902,85.8273576149564,32.836019749699254,76.0,29.0
shorts,regular,XXS,24,38,65.40382408784234,24.207954387470267,85.19120534038503,32.584538019722764,76.0,29.0
shorts,regular,XXS,24,38,62.176859151539006,24.612387614047886,82.79290380195226,32.47434581711831,76.0,29.0
shorts,regular,XXS,24,38,65.12167459643904,25.883574630167107,84.72660599532875,32.2457851691683,76.0,29.0
shorts,regular,XXS,24,38,62.31786999426421,24.970001236275188,82.902287439508,32.76073594032221,76.0,29.0
