category,style,size,chest_cm,low_hip_cm,UK,inside_leg_length_cm
jumpsuits,regular,EUR_32,75.89368115212542,80.10456718416886,4,71.0
jumpsuits,regular,EUR_32,76.54908180738241,79.58024712956623,4,71.0
jumpsuits,regular,EUR_32,76.09676095248466,82.71510036373186,4,71.0
jumpsuits,regular,EUR_32,75.32926345171876,82.72414583323648,4,71.0
jumpsuits,regular,EUR_32,75.55630760197832,80.99449084468007,4,71.0
jumpsuits,regular,EUR_32,76.82370550808237,79.74997445044094,4,71.0
jumpsuits,regular,EUR_32,77.61938916904195,82.37018170996376,4,71.0
jumpsuits,regular,EUR_32,76.80967560796634,79.58341465884781,4,71.0
jumpsuits,regular,EUR_32,75.43989118159644,80.452487106921,4,71.0
jumpsuits,regular,EUR_32,77.28981948847672,79.97996729327707,4,71.0
jumpsuits,regular,EUR_32,76.91730323680055,80.12794731447877,4,71.0
jumpsuits,regular,EUR_32,75.76909906881946,82.82344401348008,4,71.0
jumpsuits,regular,EUR_32,75.32545462675071,81.7972192080526,4,71.0
jumpsuits,regular,EUR_32,75.04956469467297,79.33563500913745,4,71.0
jumpsuits,regular,EUR_32,76.35693432373776,81.69408915020374,4,71.0
jumpsuits,regular,EUR_32,77.83278727930744,81.82869198730138,4,71.0
jumpsuits,regular,EUR_32,77.48446436203524,81.61064969475377,4,71.0
jumpsuits,regular,EUR_32,77.4226259768752,79.63561422706987,4,71.0
jumpsuits,regular,EUR_32,77.95522478795057,79.38248762226954,4,71.0
jumpsuits,regular,EUR_32,75.07924815274049,80.71111830783562,4,71.0
jumpsuits,regular,EUR_32,77.8121215615079,82.813514306396,4,71.0
jumpsuits,regular,EUR_32,75.60838907777264,81.31510430181933,4,71.0
jumpsuits,regular,EUR_32,77.15799170634699,81.56153689624308,4,71.0
jumpsuits,regular,EUR_32,75.95454607182913,79.54418045033626,4,71.0
jumpsuits,regular,EUR_32,77.03660286869952,80.6487583475001,4,71.0
jumpsuits,regular,EUR_32,76.17873602246088,81.51800846002328,4,71.0
jumpsuits,regular,EUR_32,75.3813900786236,81.98964288489414,4,71.0
jumpsuits,regular,EUR_32,76.7461581476244,79.17643717493371,4,71.0
jumpsuits,regular,EUR_32,76.37163299860374,81.17632212522709,4,71.0
jumpsuits,regular,EUR_32,76.83575813121968,79.40527800489448,4,71.0
jumpsuits,regular,EUR_32,77.01450789854442,80.71700248331821,4,71.0
jumpsuits,regular,EUR_32,75.41588432934364,79.71767785498243,4,71.0
jumpsuits,regular,EUR_32,77.61436272540479,82.42925412523756,4,71.0
jumpsuits,regular,EUR_32,77.28009110430777,81.0318530447878,4,71.0
jumpsuits,regular,EUR_32,76.76243397827233,81.47334116095483,4,71.0
jumpsuits,regular,EUR_32,77.14768067852636,79.5479109792738,4,71.0
jumpsuits,regular,EUR_32,75.2909578524752,82.23328042002741,4,71.0
jumpsuits,regular,EUR_32,76.55084415636027,82.85323328672362,4,71.0
jumpsuits,regular,EUR_32,75.35849865264439,81.29263152562685,4,71.0
jumpsuits,regular,EUR_32,75.08260645530274,79.43074121233433,4,71.0
jumpsuits,regular,EUR_32,75.48754257140122,79.42382913017684,4,71.0
jumpsuits,regular,EUR_32,77.49222053977066,80.06284766682425,4,71.0
jumpsuits,regular,EUR_32,75.59986257787345,79.00535183130931,4,71.0
jumpsuits,regular,EUR_32,75.55969948558071,82.60110981403328,4,71.0
jumpsuits,regular,EUR_32,76.22738855185248,79.94017308127101,4,71.0
