category,style,size,chest_cm,low_hip_cm,UK,EUR,inside_leg_length_cm
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,76.59388608265743,81.9158201754177,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,76.10998575257909,82.76889223777381,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,77.93033672945371,81.68248528279229,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,76.76510251906207,80.51418859957256,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,77.26037098945261,80.59182306361241,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,77.14287801267753,79.0727857936311,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,77.98929318266374,82.61019368021557,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,75.01084702603654,82.2030129960011,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,74.02201161807585,80.86860188046316,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,74.16876494343346,82.64611694926398,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,74.1081873344226,79.78711130456023,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,77.03413122586093,79.40237629878662,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,75.32511755888004,82.56148652689318,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,74.69630820424976,79.37016899919935,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,77.36684757415131,79.41936984800155,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,75.8023686600125,80.74417422777132,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,75.82933214106734,80.06200632575501,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,76.21819011308179,79.29607078083713,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,77.9054807575275,82.25555022146742,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,75.33464486086105,79.90239955786114,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,75.35322445471154,81.60542143681957,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,75.06341095602973,79.81839062694795,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,75.93053167244153,82.07980437880224,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,76.16059946167093,81.11809957360359,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,77.90878410346512,80.30236365091248,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,77.54415210860536,82.54424548570226,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,75.40977689152062,80.69332234117961,4,32,71.0
