category,style,size,chest_cm,low_hip_cm,UK
corsets_bustiers_bandeau,regular,EUR_32,75.33482280635914,81.81718321690929,4
corsets_bustiers_bandeau,regular,EUR_32,75.70284659011216,80.81575035519349,4
corsets_bustiers_bandeau,regular,EUR_32,77.85163547940992,80.29788180665953,4
corsets_bustiers_bandeau,regular,EUR_32,77.48655093828755,79.45930432051944,4
corsets_bustiers_bandeau,regular,EUR_32,75.4071815388206,79.6188138750064,4
corsets_bustiers_bandeau,regular,EUR_32,75.80218324915359,80.08883627454054,4
corsets_bustiers_bandeau,regular,EUR_32,77.80348608434498,81.24326805845345,4
corsets_bustiers_bandeau,regular,EUR_32,77.23534400317659,81.20731244701162,4
corsets_bustiers_bandeau,regular,EUR_32,76.91983979845597,79.79485084929388,4
corsets_bustiers_bandeau,regular,EUR_32,77.66901904022964,81.39161020737707,4
corsets_bustiers_bandeau,regular,EUR_32,77.78100306317667,82.41581504759566,4
corsets_bustiers_bandeau,regular,EUR_32,77.77816214687995,80.49465770879587,4
corsets_bustiers_bandeau,regular,EUR_32,76.31237345096243,80.73797410398245,4
corsets_bustiers_bandeau,regular,EUR_32,75.0172960328969,82.14882511996579,4
corsets_bustiers_bandeau,regular,EUR_32,76.82622456853359,82.559721645011,4
corsets_bustiers_bandeau,regular,EUR_32,76.48798695508404,79.72757919434775,4
corsets_bustiers_bandeau,regular,EUR_32,75.85337636071888,82.76298125628115,4
corsets_bustiers_bandeau,regular,EUR_32,76.52409446434487,81.36289161311026,4
corsets_bustiers_bandeau,regular,EUR_32,77.14926057394898,81.90202019600258,4
corsets_bustiers_bandeau,regular,EUR_32,77.37650469481315,80.23107972800196,4
corsets_bustiers_bandeau,regular,EUR_32,77.92558389637348,80.3583931126624,4
corsets_bustiers_bandeau,regular,EUR_32,77.64118822521145,81.55934264920626,4
corsets_bustiers_bandeau,regular,EUR_32,75.04240706793374,80.45602151873095,4
corsets_bustiers_bandeau,regular,EUR_32,77.03750927117302,80.54813653749807,4
corsets_bustiers_bandeau,regular,EUR_32,76.01829483030296,79.30567407794057,4
corsets_bustiers_bandeau,regular,EUR_32,77.10704345305473,81.5466995708971,4
corsets_bustiers_bandeau,regular,EUR_32,75.94802825356996,79.12053359791786,4
corsets_bustiers_bandeau,regular,EUR_32,75.60262025417117,82.7659110823689,4
corsets_bustiers_bandeau,regular,EUR_32,76.027185927463,82.79749166950668,4
corsets_bustiers_bandeau,regular,EUR_32,77.53357869641403,80.55157719312464,4
corsets_bustiers_bandeau,regular,EUR_32,76.59522612657514,79.35755600304778,4
corsets_bustiers_bandeau,regular,EUR_32,75.97569907242391,80.62798559616232,4
corsets_bustiers_bandeau,regular,EUR_32,76.7764841035501,82.0540170038107,4
corsets_bustiers_bandeau,regular,EUR_32,76.87240342914103,82.73302881058567,4
corsets_bustiers_bandeau,regular,EUR_32,77.2535450443475,79.39782904013407,4
corsets_bustiers_bandeau,regular,EUR_32,76.49591435375389,82.2183185772398,4
corsets_bustiers_bandeau,regular,EUR_32,77.19579702105015,80.3533501709424,4
corsets_bustiers_bandeau,regular,EUR_32,76.89385672866685,79.4887685441677,4
corsets_bustiers_bandeau,regular,EUR_32,75.5353954991326,81.99361548159318,4
corsets_bustiers_bandeau,regular,EUR_32,76.24606534663991,81.05636331608108,4
corsets_bustiers_bandeau,regular,EUR_32,76.16557553996776,79.81961459487968,4
corsets_bustiers_bandeau,regular,EUR_32,75.4735952794138,79.36183941277751,4
corsets_bustiers_bandeau,regular,EUR_32,77.33302969701373,79.61894766567602,4
corsets_bustiers_bandeau,regular,EUR_32,75.3883814855766,82.01397680474933,4
corsets_bustiers_bandeau,regular,EUR_32,77.6670109878688,81.95532474038936,4
corsets_bustiers_bandeau,regular,EUR_32,76.70294634590138,81.30851973504609,4
corsets_bustiers_bandeau,regular,EUR_32,75.69260282793456,80.11363851948688,4
corsets_bustiers_bandeau,regular,EUR_32,75.0286334052556,82.14797641157224,4
corsets_bustiers_bandeau,regular,EUR_32,75.03266930925548,82.07518020703414,4
corsets_bustiers_bandeau,regular,EUR_32,77.809882819994,82.2914385480762,4
corsets_bustiers_bandeau,regular,EUR_32,76.61499622944459,82.9765538709261,4
corsets_bustiers_bandeau,regular,EUR_32,77.24547941964047,79.76544090756809,4
corsets_bustiers_bandeau,regular,EUR_32,76.13243159260075,82.34433436411759,4
corsets_bustiers_bandeau,regular,EUR_32,77.35861919809618,82.70294762211911,4
corsets_bustiers_bandeau,regular,EUR_32,75.60453205501156,80.83200298419894,4
corsets_bustiers_bandeau,regular,EUR_32,75.89881097664771,79.85960785969847,4
corsets_bustiers_bandeau,regular,EUR_32,77.24237017946615,81.39025090967104,4
corsets_bustiers_bandeau,regular,EUR_32,76.22421696960608,81.29465991819028,4
corsets_bustiers_bandeau,regular,EUR_32,76.13550148082071,79.80199869032059,4
corsets_bustiers_bandeau,regular,EUR_32,76.37378698657076,82.77927640895629,4
corsets_bustiers_bandeau,regular,EUR_32,77.3008899974509,80.80390057803321,4
corsets_bustiers_bandeau,regular,EUR_32,77.30312953651335,81.32098105112674,4
corsets_bustiers_bandeau,regular,EUR_32,76.23448003419655,81.23622692781079,4
corsets_bustiers_bandeau,regular,EUR_32,75.3413139531307,81.55961304931314,4
corsets_bustiers_bandeau,regular,EUR_32,76.15269349132932,81.64286173055211,4
corsets_bustiers_bandeau,regular,EUR_32,77.5547660058474,82.9743232210077,4
corsets_bustiers_bandeau,regular,EUR_32,76.92568151947317,80.29543377586268,4
corsets_bustiers_bandeau,regular,EUR_32,75.28207527333198,81.55883321034393,4
corsets_bustiers_bandeau,regular,EUR_32,75.6824584074272,82.4784965999557,4
corsets_bustiers_bandeau,regular,EUR_32,75.19475971646862,80.42949849590684,4
corsets_bustiers_bandeau,regular,EUR_32,76.38644005671733,79.295341735586,4
corsets_bustiers_bandeau,regular,EUR_32,75.35286323227793,80.47591337365365,4
corsets_bustiers_bandeau,regular,EUR_32,75.87084979351481,82.53795401353204,4
corsets_bustiers_bandeau,regular,EUR_32,77.27820707327153,81.80630944989176,4
corsets_bustiers_bandeau,regular,EUR_32,77.22473422587292,82.29627725596191,4
corsets_bustiers_bandeau,regular,EUR_32,77.12899130295455,81.81960222547968,4
corsets_bustiers_bandeau,regular,EUR_32,77.54923559257271,79.70370892196183,4
corsets_bustiers_bandeau,regular,EUR_32,75.19477040033082,81.64929850374993,4
corsets_bustiers_bandeau,regular,EUR_32,77.1854511178299,80.99223459333079,4
corsets_bustiers_bandeau,regular,EUR_32,76.4902495906999,82.4582382612583,4
corsets_bustiers_bandeau,regular,EUR_32,77.9012197535896,81.57662284357785,4
corsets_bustiers_bandeau,regular,EUR_32,76.09241046068378,82.37179883530433,4
corsets_bustiers_bandeau,regular,EUR_32,77.97594776753145,79.57487846675753,4
corsets_bustiers_bandeau,regular,EUR_32,75.60369846233577,82.03055779535002,4
corsets_bustiers_bandeau,regular,EUR_32,76.82777525975385,81.89436106977138,4
corsets_bustiers_bandeau,regular,EUR_32,75.01999164080206,79.22162527723289,4
corsets_bustiers_bandeau,regular,EUR_32,76.57605389379654,80.87507469691832,4
corsets_bustiers_bandeau,regular,EUR_32,76.11964860748722,82.65133838915277,4
corsets_bustiers_bandeau,regular,EUR_32,76.47377509762937,82.33306770539757,4
corsets_bustiers_bandeau,regular,EUR_32,76.33578478288794,81.55489755925423,4
corsets_bustiers_bandeau,regular,EUR_32,76.15623845232169,80.72572157182246,4
corsets_bustiers_bandeau,regular,EUR_32,77.1853652489199,82.19135997091377,4
corsets_bustiers_bandeau,regular,EUR_32,75.5650271307222,79.55819548347188,4
corsets_bustiers_bandeau,regular,EUR_32,75.8470708584272,81.15494449023136,4
corsets_bustiers_bandeau,regular,EUR_32,75.61402982931928,80.0653060286779,4
corsets_bustiers_bandeau,regular,EUR_32,77.68499311725951,82.82729370831937,4
corsets_bustiers_bandeau,regular,EUR_32,77.74593435258116,82.73630038669387,4
corsets_bustiers_bandeau,regular,EUR_32,75.90824075379292,82.9810227068594,4
corsets_bustiers_bandeau,regular,EUR_32,76.97306409311291,79.87378987964809,4
corsets_bustiers_bandeau,regular,EUR_32,77.16452401743734,82.67320421731735,4
corsets_bustiers_bandeau,regular,EUR_34,78.66760048081134,84.56792248848704,6
corsets_bustiers_bandeau,regular,EUR_34,79.60386160147799,83.90444108703609,6
corsets_bustiers_bandeau,regular,EUR_34,81.16493388142742,83.94584524834706,6
corsets_bustiers_bandeau,regular,EUR_34,79.62048128002269,86.30693955790245,6
corsets_bustiers_bandeau,regular,EUR_34,78.50776279218589,83.72252663034854,6
corsets_bustiers_bandeau,regular,EUR_34,79.33631966539983,86.22465058357665,6
corsets_bustiers_bandeau,regular,EUR_34,79.73247065235937,84.69478303674342,6
corsets_bustiers_bandeau,regular,EUR_34,78.08066577774474,83.0462561781842,6
corsets_bustiers_bandeau,regular,EUR_34,81.59824418839223,83.78793452176203,6
corsets_bustiers_bandeau,regular,EUR_34,78.28367012530785,84.15998281115985,6
corsets_bustiers_bandeau,regular,EUR_34,78.61785052776034,85.40828469802733,6
corsets_bustiers_bandeau,regular,EUR_34,79.65822681416144,84.07544462491153,6
corsets_bustiers_bandeau,regular,EUR_34,78.89625708249227,83.89709409088209,6
corsets_bustiers_bandeau,regular,EUR_34,81.48816086452545,83.22787032949711,6
corsets_bustiers_bandeau,regular,EUR_34,78.89302726894712,85.25208030360753,6
corsets_bustiers_bandeau,regular,EUR_34,79.4167571433763,85.45657322017375,6
corsets_bustiers_bandeau,regular,EUR_34,78.02344382922202,84.02784318043084,6
corsets_bustiers_bandeau,regular,EUR_34,80.87682913302929,84.95008934100125,6
corsets_bustiers_bandeau,regular,EUR_34,78.01406539647297,86.31824926126097,6
corsets_bustiers_bandeau,regular,EUR_34,78.07992352139537,83.6662939204723,6
corsets_bustiers_bandeau,regular,EUR_34,81.34245038525935,85.10392333217739,6
