category,style,size,low_hip_cm,UK,inside_leg_length_cm
jeans_trousers_shorts_denimskirts,regular,EUR_32,79.83933840096594,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,82.81787585661829,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,79.42235962135332,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,80.75164346684171,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,79.86146680218266,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,79.90014655066493,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,82.42197359378642,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,79.56472427458634,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,82.0948693536355,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,80.14494983049539,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,79.66498248473876,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,82.30799534379607,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,79.55264484237382,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,81.08113001437589,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,81.17217382656962,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,79.67286243761441,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,81.84229472413769,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,82.51989027582475,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,82.78312528569313,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,79.72611292654749,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,80.47183819799208,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,81.19294682182357,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,80.35558097312875,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,82.91806707918904,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,81.49317492001381,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,81.82206544063526,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,82.06478097015015,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,81.51542479944797,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,81.03272591004877,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,79.62241534641836,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,80.51184052521387,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,81.89964694644463,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,80.67832546580581,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,81.14524443942659,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,80.45518558821651,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,81.3172956850514,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,81.5912384310987,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,80.90142153725277,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,80.90247611106072,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,79.0492898262689,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,79.88571667340402,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,79.69874386140911,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,82.81886543877742,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,80.41764620379023,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,81.36630982816983,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,81.69707856384109,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,81.58563407261649,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,81.29259740538647,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,80.09104093892142,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,79.31268415409434,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,81.57907887696238,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,82.55021386305992,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,80.36010828325047,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,81.37938857471381,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,80.61719525125656,4,71.0
jeans_trousers_shorts_denimskirts,regular,EUR_32,79.35273949400538,4,71.0
